Date,Primary Type,Count
2004-09-30,BURGLARY,2230
2004-10-31,BURGLARY,2169
2004-11-30,BURGLARY,2204
2004-12-31,BURGLARY,2112
2005-01-31,BURGLARY,1817
2005-02-28,BURGLARY,1492
2005-03-31,BURGLARY,1783
2005-04-30,BURGLARY,1970
2005-05-31,BURGLARY,2179
2005-06-30,BURGLARY,2280
2005-07-31,BURGLARY,2395
2005-08-31,BURGLARY,2503
2005-09-30,BURGLARY,2446
2005-10-31,BURGLARY,2468
2005-11-30,BURGLARY,2197
2005-12-31,BURGLARY,1974
2006-01-31,BURGLARY,2016
2006-02-28,BURGLARY,1582
2006-03-31,BURGLARY,1871
2006-04-30,BURGLARY,1702
2006-05-31,BURGLARY,2186
2006-06-30,BURGLARY,1994
2006-07-31,BURGLARY,2275
2006-08-31,BURGLARY,2235
2006-09-30,BURGLARY,2103
2006-10-31,BURGLARY,2280
2006-11-30,BURGLARY,1990
2006-12-31,BURGLARY,2090
2007-01-31,BURGLARY,1845
2007-02-28,BURGLARY,1339
2007-03-31,BURGLARY,1757
2007-04-30,BURGLARY,1867
2007-05-31,BURGLARY,2233
2007-06-30,BURGLARY,2174
2007-07-31,BURGLARY,2270
2007-08-31,BURGLARY,2378
2007-09-30,BURGLARY,2248
2007-10-31,BURGLARY,2385
2007-11-30,BURGLARY,2323
2007-12-31,BURGLARY,2039
2008-01-31,BURGLARY,1894
2008-02-29,BURGLARY,1560
2008-03-31,BURGLARY,1749
2008-04-30,BURGLARY,1926
2008-05-31,BURGLARY,2260
2008-06-30,BURGLARY,2159
2008-07-31,BURGLARY,2582
2008-08-31,BURGLARY,2397
2008-09-30,BURGLARY,2473
2008-10-31,BURGLARY,2630
2008-11-30,BURGLARY,2348
2008-12-31,BURGLARY,2239
2009-01-31,BURGLARY,1776
2009-02-28,BURGLARY,1551
2009-03-31,BURGLARY,1912
2009-04-30,BURGLARY,2056
2009-05-31,BURGLARY,2197
2009-06-30,BURGLARY,2333
2009-07-31,BURGLARY,2508
2009-08-31,BURGLARY,2660
2009-09-30,BURGLARY,2529
2009-10-31,BURGLARY,2518
2009-11-30,BURGLARY,2400
2009-12-31,BURGLARY,2324
2010-01-31,BURGLARY,1957
2010-02-28,BURGLARY,1479
2010-03-31,BURGLARY,1988
2010-04-30,BURGLARY,1994
2010-05-31,BURGLARY,2248
2010-06-30,BURGLARY,2256
2010-07-31,BURGLARY,2331
2010-08-31,BURGLARY,2707
